National project number,LRMA Name,NEW LRMA Name
NWC501E/000A/042A,Allerdale Borough Council,Cumberland Council
NWC501E/000A/439A,Allerdale Borough Council,Cumberland Council
NWS004C/000A/014A,Allerdale Borough Council,Cumberland Council
NWC501E/000A/440A,Allerdale Borough Council,Cumberland Council
NWC501E/000A/441A,Allerdale Borough Council,Cumberland Council
NWC501E/000A/577A,Allerdale Borough Council,Cumberland Council
NWC501E/000A/578A,Allerdale Borough Council,Cumberland Council
NWC501E/000A/442A,Allerdale Borough Council,Cumberland Council
NWC501E/000A/570A,Barrow-in-Furness Borough Council,Westmorland and Furness Council
NWC501E/000A/571A,Barrow-in-Furness Borough Council,Westmorland and Furness Council
NWS003C/000A/003C,Barrow-in-Furness Borough Council,Westmorland and Furness Council
NWC501E/000A/614A,Copeland Borough Council,Cumberland Council
NWC501E/000A/627A,Copeland Borough Council,Cumberland Council
NWS004C/000A/011A,Copeland Borough Council,Cumberland Council
NWS004C/000A/016A,Copeland Borough Council,Cumberland Council
NWC501E/000A/443A,Copeland Borough Council,Cumberland Council
NWC501E/000A/632A,Copeland Borough Council,Cumberland Council
NWS004C/000A/009A,Copeland Borough Council,Cumberland Council
NWS004C/000A/015A,Copeland Borough Council,Cumberland Council
NWC002F/001A/004A,Cumbria County Council,Cumberland Council
NWC002F/001A/005A,Cumbria County Council,Cumberland Council
NWC004F/000A/004A,Cumbria County Council,Westmorland and Furness Council
NWC004F/000A/007A,Cumbria County Council,Westmorland and Furness Council
NWC004F/000A/010A,Cumbria County Council,Cumberland Council
NWC004F/000A/011A,Cumbria County Council,Cumberland Council
NWC010F/000A/003A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/038A,Cumbria County Council,Cumberland Council
NWC501E/000A/039A,Cumbria County Council,Cumberland Council
NWC501E/000A/040A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/057A,Cumbria County Council,Cumberland Council
NWC501E/000A/096A,Cumbria County Council,Cumberland Council
NWC501E/000A/101A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/103A,Cumbria County Council,Cumberland Council
NWC501E/000A/104A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/105A,Cumbria County Council,Cumberland Council
NWC501E/000A/107A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/108A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/109A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/229A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/505A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/508A,Cumbria County Council,Cumberland Council
NWC501E/000A/522A,Cumbria County Council,Cumberland Council
NWC501E/000A/540A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/562A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/591A,Cumbria County Council,Cumberland Council
NWS004C/000A/018A,Cumbria County Council,Cumberland Council
NWC002F/001A/001A,Cumbria County Council,Cumberland Council
NWC004F/000A/006A,Cumbria County Council,Westmorland and Furness Council
NWC004F/000A/013A,Cumbria County Council,Westmorland and Furness Council
NWC004F/000A/014A,Cumbria County Council,Westmorland and Furness Council
NWC006F/000A/002A,Cumbria County Council,Westmorland and Furness Council
NWC006F/000A/003A,Cumbria County Council,Westmorland and Furness Council
NWC010F/000A/002A,Cumbria County Council,Cumberland Council
NWC010F/000A/004A,Cumbria County Council,Cumberland Council
NWC501E/000A/097A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/098A,Cumbria County Council,Cumberland Council
NWC501E/000A/102A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/106A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/228A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/231A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/232A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/233A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/247A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/382A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/477A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/480A,Cumbria County Council,Cumberland Council
NWC501E/000A/481A,Cumbria County Council,Cumberland Council
NWC501E/000A/483A,Cumbria County Council,Cumberland Council
NWC501E/000A/485A,Cumbria County Council,Cumberland Council
NWC501E/000A/491A,Cumbria County Council,Cumberland Council
NWC501E/000A/524A,Cumbria County Council,Cumberland Council
NWC501E/000A/529A,Cumbria County Council,Cumberland Council
NWC501E/000A/530A,Cumbria County Council,Cumberland Council
NWC501E/000A/533A,Cumbria County Council,Cumberland Council
NWC501E/000A/536A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/556A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/560A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/564A,Cumbria County Council,Cumberland Council
NWC501E/000A/590A,Cumbria County Council,Cumberland Council
NWC501E/000A/595A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/599A,Cumbria County Council,Cumberland Council
NWC501E/000A/605A,Cumbria County Council,Cumberland Council
NWC501E/000A/607A,Cumbria County Council,Cumberland Council
NWC501E/000A/633A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/634A,Cumbria County Council,Cumberland Council
NWC501E/000A/635A,Cumbria County Council,Cumberland Council
NWC501E/000A/636A,Cumbria County Council,Cumberland Council
NWS004C/000A/017A,Cumbria County Council,Cumberland Council
NWC004F/000A/009A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/099A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/100A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/110A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/230A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/476A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/478A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/482A,Cumbria County Council,Cumberland Council
NWC501E/000A/489A,Cumbria County Council,Cumberland Council
NWC501E/000A/497A,Cumbria County Council,Cumberland Council
NWC501E/000A/500A,Cumbria County Council,Cumberland Council
NWC501E/000A/503A,Cumbria County Council,Cumberland Council
NWC501E/000A/504A,Cumbria County Council,Cumberland Council
NWC501E/000A/506A,Cumbria County Council,Cumberland Council
NWC501E/000A/507A,Cumbria County Council,Cumberland Council
NWC501E/000A/509A,Cumbria County Council,Cumberland Council
NWC501E/000A/510A,Cumbria County Council,Cumberland Council
NWC501E/000A/520A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/523A,Cumbria County Council,Cumberland Council
NWC501E/000A/526A,Cumbria County Council,Cumberland Council
NWC501E/000A/528A,Cumbria County Council,Cumberland Council
NWC501E/000A/531A,Cumbria County Council,Cumberland Council
NWC501E/000A/535A,Cumbria County Council,Cumberland Council
NWC501E/000A/537A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/539A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/542A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/543A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/545A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/546A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/547A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/548A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/550A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/557A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/558A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/559A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/561A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/563A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/592A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/594A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/596A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/597A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/598A,Cumbria County Council,Cumberland Council
NWC501E/000A/600A,Cumbria County Council,Cumberland Council
NWC501E/000A/603A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/604A,Cumbria County Council,Cumberland Council
NWC501E/000A/615A,Cumbria County Council,Cumberland Council
NWC501E/000A/637A,Cumbria County Council,Cumberland Council
NWC501E/000A/638A,Cumbria County Council,Westmorland and Furness Council
NWC501E/000A/511A,South Lakeland District Council,Westmorland and Furness Council
NWC501E/000A/512A,South Lakeland District Council,Westmorland and Furness Council
NWC501E/000A/513A,South Lakeland District Council,Westmorland and Furness Council
NWC501E/000A/514A,South Lakeland District Council,Westmorland and Furness Council