National project number,LRMA Name,NEW LRMA Name
WXC007F/000A/214A,Sedgemoor District Council,Somerset Council
WXC006F/000A/154A,Sedgemoor District Council,Somerset Council
WXC006F/000A/110A,Sedgemoor District Council,Somerset Council
WXC006F/000A/111A,Sedgemoor District Council,Somerset Council
WXC006F/000A/112A,Sedgemoor District Council,Somerset Council
WXC006F/000A/132A,Sedgemoor District Council,Somerset Council
WXC501E/000A/038A,Somerset West and Taunton Council,Somerset Council
WXC501E/000A/036A,Somerset West and Taunton Council,Somerset Council
WXC501E/000A/035A,Somerset West and Taunton Council,Somerset Council
WXC500E/000A/117A,Somerset West and Taunton Council,Somerset Council
WXC500E/000A/013A,Somerset West and Taunton Council,Somerset Council
WXC501E/000A/072A,Somerset County Council,Somerset Council
WXC501E/000A/073A,Somerset County Council,Somerset Council
AEC501E/000A/249A,East Suffolk Internal Drainage Board,East Suffolk Water Management Board
AEC501E/000A/197A,East Suffolk Internal Drainage Board,East Suffolk Water Management Board
AEC501E/000A/196A,East Suffolk Internal Drainage Board,East Suffolk Water Management Board
AEC501E/000A/083A,East Suffolk Internal Drainage Board,East Suffolk Water Management Board
AEC501E/000A/082A,East Suffolk Internal Drainage Board,East Suffolk Water Management Board
AEC504I/001A/013A,East Suffolk Internal Drainage Board,East Suffolk Water Management Board
AEC504I/001A/009A,East Suffolk Internal Drainage Board,East Suffolk Water Management Board
YOC501E/000A/453A,North Yorkshire County Council,North Yorkshire Council
NOC306E/000A/057A,North Yorkshire County Council,North Yorkshire Council
YOC501E/000A/244A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/023A,North Yorkshire County Council,North Yorkshire Council
YOC501E/000A/242A,North Yorkshire County Council,North Yorkshire Council
YOC501E/000A/200A,North Yorkshire County Council,North Yorkshire Council
YOC501E/000A/235A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/009A,North Yorkshire County Council,North Yorkshire Council
YOC501E/000A/237A,North Yorkshire County Council,North Yorkshire Council
YOC501E/000A/236A,North Yorkshire County Council,North Yorkshire Council
YOC501E/000A/240A,North Yorkshire County Council,North Yorkshire Council
YOC354F/000A/031A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/014A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/013A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/011A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/010A,North Yorkshire County Council,North Yorkshire Council
NOC306F/000A/015A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/017A,North Yorkshire County Council,North Yorkshire Council
YOC353E/000A/088A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/016A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/019A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/021A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/022A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/024A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/025A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/026A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/027A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/029A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/030A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/031A,North Yorkshire County Council,North Yorkshire Council
YOC354F/000A/027A,North Yorkshire County Council,North Yorkshire Council
YOC354F/000A/028A,North Yorkshire County Council,North Yorkshire Council
YOC354F/000A/029A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/020A,North Yorkshire County Council,North Yorkshire Council
YOC354F/000A/030A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/028A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/008A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/012A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/016A,North Yorkshire County Council,North Yorkshire Council
YOC351F/000A/015A,North Yorkshire County Council,North Yorkshire Council
YOC500E/000A/024A,North Yorkshire County Council,North Yorkshire Council
YOC353F/000A/018A,North Yorkshire County Council,North Yorkshire Council
YOS351C/000A/095A,Scarborough Borough Council,North Yorkshire Council
YOC500E/000A/004A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/086A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/094A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/418A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/419A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/096A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/093A,Scarborough Borough Council,North Yorkshire Council
YOC500E/000A/003A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/185A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/079A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/425A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/076A,Scarborough Borough Council,North Yorkshire Council
YOS351F/000A/020A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/022A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/100A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/108A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/107A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/068A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/194A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/193A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/434A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/433A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/431A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/416A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/415A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/414A,Scarborough Borough Council,North Yorkshire Council
YOS351F/000A/011A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/097A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/417A,Scarborough Borough Council,North Yorkshire Council
YOC500E/000A/005A,Scarborough Borough Council,North Yorkshire Council
YOC500E/000A/002A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/184A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/187A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/188A,Scarborough Borough Council,North Yorkshire Council
YOS351C/001A/020A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/413A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/102A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/426A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/007A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/101A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/195A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/089A,Scarborough Borough Council,North Yorkshire Council
YOC500E/000A/006A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/190A,Scarborough Borough Council,North Yorkshire Council
YOS351F/000A/022A,Scarborough Borough Council,North Yorkshire Council
YOS351F/000A/017A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/084A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/105A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/189A,Scarborough Borough Council,North Yorkshire Council
YOS351C/001A/012A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/098A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/111A,Scarborough Borough Council,North Yorkshire Council
YOC500E/000A/007A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/073A,Scarborough Borough Council,North Yorkshire Council
YOS351C/000A/090A,Scarborough Borough Council,North Yorkshire Council
YOC501E/000A/326A,Selby District Council,North Yorkshire Council